committee,women_percentage,men_percentage
AFCO,22.22222222222222,77.77777777777777
SEDE,25.925925925925924,74.07407407407408
BUDG,27.631578947368425,72.36842105263158
AFET,29.13907284768212,70.86092715231788
ENVI,47.337278106508876,52.662721893491124
SANT,51.85185185185185,48.14814814814815
EMPL,56.43564356435643,43.56435643564357
FEMM,86.15384615384616,13.84615384615384
