gender,current_count,current_pc,former_count,former_pc,change_count,change_pc
MALE,441,0.6133518776077886,425.0,0.6028368794326241,-16.0,0.010514998175164547
FEMALE,277,0.3852573018080668,280.0,0.3971631205673759,3.0,-0.011905818759309128
NKN,1,0.0013908205841446453,,,,
