group,returned_meps,current_meps,current_return_ratio,former_return_ratio
The Left,14,46,30.434782608695656,37.83783783783784
S&D,71,136,52.20588235294118,51.07913669064749
Verts/ALE,31,53,58.490566037735846,43.66197183098591
Renew,39,77,50.649350649350644,38.23529411764706
PPE,101,188,53.72340425531915,57.38636363636363
ECR,28,78,35.8974358974359,40.57971014492754
PfE,34,84,40.476190476190474,nan
ESN,4,25,16.0,nan
