group,men_percentage_current,men_percentage_former,change
Verts/ALE,49.056603773584904,52.112676056338024,-3.056072282753121
The Left,54.347826086956516,48.64864864864865,5.6991774383078635
Renew,55.84415584415584,57.84313725490197,-1.9989814107461257
S&D,57.35294117647059,57.55395683453237,-0.20101565806178456
PfE,59.523809523809526,,
PPE,63.297872340425535,62.5,0.7978723404255348
ESN,68.0,,
ECR,78.2051282051282,72.46376811594203,5.741360089186173
