name;father;mother;born_place;birthplace_link;relatives;degrees;educated_at;occupation;born_day;born_month;born_year
Marc Tarabella;;;Ougrée;http://www.wikidata.org/entity/Q2854501;;;University of Liège;politician,researcher;11;03;1963
Vangelis Meimarakis;Ioannis Meimarakis;;Athens;http://www.wikidata.org/entity/Q1524;Ioannis Meimarakis;;Panteion University,National and Kapodistrian University of Athens;politician,lawyer;14;12;1953
Gilbert Collard;;;Marseille;http://www.wikidata.org/entity/Q23482;;;Panthéon-Assas University,Aix-Marseille University;politician,lawyer,writer;03;02;1948
Miguel Urbán Crespo;;;Madrid;http://www.wikidata.org/entity/Q2807;;;;politician,activist;26;03;1980
Monika Vana;;;Vienna;http://www.wikidata.org/entity/Q1741;;;TU Wien,University of Vienna;politician;14;09;1969
Jaak Madison;;;Paide;http://www.wikidata.org/entity/Q45114;;;Q16410081,University of Tartu,Noarootsi Secondary School,Tallinn Old Town Adult Gymnasium,Tallinn School of Service,Tallinn School of Economics;politician;22;04;1991
Assita Kanko;;;Godyr;http://www.wikidata.org/entity/Q60849301;;;Solvay Brussels School of Economics and Management,University Joseph Ki-Zerbo;politician;14;07;1980
Niclas Herbst;;;Ratzeburg;http://www.wikidata.org/entity/Q490025;;;University of Kiel;politician;28;02;1973
Nico Semsrott;;;Hamburg;http://www.wikidata.org/entity/Q1055;;;;politician;11;03;1986
Nicola Beer;;;Wiesbaden;http://www.wikidata.org/entity/Q1721;;;Goethe University Frankfurt,Ziehenschule;politician,lawyer;23;01;1970
Predrag Matić;;;Požega;http://www.wikidata.org/entity/Q273114;;;University of Osijek;politician;02;06;1962
Javier Zarzalejos;José Antonio Zarzalejos Altares;;Bilbao;http://www.wikidata.org/entity/Q8692;José Antonio Zarzalejos Altares;;University of Deusto;politician,lawyer;06;06;1960
Marcel de Graaff;;;Rotterdam;http://www.wikidata.org/entity/Q34370;;;Radboud University Nijmegen;politician,conspiracy theorist,teacher;07;04;1962
Tomasz Frankowski;;;Białystok;http://www.wikidata.org/entity/Q761;;;;politician,athlete;16;08;1974
Peter Kofod Poulsen;;;Snogebæk;http://www.wikidata.org/entity/Q1004681;;;University College South Denmark,Bornholm Gymnasium;politician,teacher;27;02;1990
Sergei Stanishev;Dimitar Stanishev;;Kherson;http://www.wikidata.org/entity/Q156732;Dimitar Stanishev;;Goodenough College,MSU Faculty of History;politician;05;05;1966
Laura Huhtasaari;;;Vilppula;http://www.wikidata.org/entity/Q1264422;;;University of Jyväskylä;politician;30;03;1979
Alviina Alametsä;;;;;;;University of Helsinki,Jokela High School;politician;29;09;1992
Loránt-György Vincze;;;Târgu Mureș;http://www.wikidata.org/entity/Q186349;;;University of Bucharest,Bolyai Farkas High School in Târgu Mureș,Babeș-Bolyai University;politician,media,actor;03;11;1977
Valter Flego;;;Koper;http://www.wikidata.org/entity/Q1015;;;University of Rijeka;politician;15;08;1972
Ladislav Ilčić;;;Varaždin;http://www.wikidata.org/entity/Q5420;;;;politician;04;08;1970
Nicolás González Casares;Nicolás González Aller;;A Coruña;http://www.wikidata.org/entity/Q8757;Nicolás González Aller;;University of Santiago de Compostela;politician,doctor;20;07;1972
Pedro Silva Pereira;;;Lisbon;http://www.wikidata.org/entity/Q597;;;University of Lisbon;politician;15;08;1962
Petras Auštrevičius;;;Juodšiliai;http://www.wikidata.org/entity/Q8145766;;;Vilnius University,Hoover Institution,Lithuanian Academy of Sciences;politician,official,researcher;16;05;1963
Phil Bennion;;;Tamworth;http://www.wikidata.org/entity/Q704864;;;University of Birmingham,Newcastle University,University of Aberdeen;politician;07;10;1954
Sven Mikser;;;Tartu;http://www.wikidata.org/entity/Q13972;;;University of Tartu;politician;08;11;1973
Claudia Gamon;;;Feldkirch;http://www.wikidata.org/entity/Q183104;;;Gymnasium Bludenz,Vienna University of Economics and Business;politician;23;12;1988
Christophe Grudler;;;Belfort;http://www.wikidata.org/entity/Q171545;;;University of Strasbourg;politician,media;09;04;1965
Joanna Kopcińska;;;Łódź;http://www.wikidata.org/entity/Q580;;;Medical Academy of Łódź;doctor,politician;02;01;1967
Dominik Tarczyński;;;Lublin;http://www.wikidata.org/entity/Q37333;;;John Paul II Catholic University of Lublin;politician,film director;27;03;1979
Ralf Seekatz;;;Dernbach;http://www.wikidata.org/entity/Q647701;;;;politician;10;11;1972
Henk Jan Ormel;;;Utrecht;http://www.wikidata.org/entity/Q803;;;Utrecht University;politician;15;12;1955
Caroline Nagtegaal-van Doorn;;;Utrecht;http://www.wikidata.org/entity/Q803;;;;politician;01;06;1980
Gilles Boyer;;;Paris;http://www.wikidata.org/entity/Q90;;;Paris Nanterre University;politician,writer;04;07;1971
Roman Haider;;;Grieskirchen;http://www.wikidata.org/entity/Q256996;;;Johannes Kepler University Linz;politician;13;04;1967
Romeo Franz;;;Kaiserslautern;http://www.wikidata.org/entity/Q3758;;;;politician,pianist,jazz musician;28;10;1966
Anja Hazekamp;;;Vlagtwedde;http://www.wikidata.org/entity/Q3483873;;;University of Groningen;politician;21;01;1968
Pedro Marques;;;Alcochete;http://www.wikidata.org/entity/Q605319;;;;politician,researcher;01;08;1976
Juan Ignacio Zoido;;;Montellano;http://www.wikidata.org/entity/Q1605609;;;University of Seville,University of Almería;politician,lawyer;21;01;1957
Maria Manuel Leitão Marques;;;Quelimane;http://www.wikidata.org/entity/Q318306;;;Law School of the University of Coimbra;politician,teacher,researcher;23;08;1952
João Pimenta Lopes;;;Campo Grande;http://www.wikidata.org/entity/Q963573;;;University of Lisbon;politician,biologist;12;04;1980
Lina Gálvez Muñoz;;;Seville;http://www.wikidata.org/entity/Q8717;;phd;Lumière University Lyon 2,University of Seville,European University Institute;researcher,columnist,politician,teacher,writer;13;09;1969
Sergey Lagodinsky;;;Astrakhan;http://www.wikidata.org/entity/Q3927;;university,phd;John F. Kennedy School of Government;politician,lawyer;01;12;1975
Gerolf Annemans;;;Antwerp;http://www.wikidata.org/entity/Q12892;;;University of Antwerp;politician,lawyer;08;11;1958
John Longworth;;;Bolton;http://www.wikidata.org/entity/Q184579;;;Smithills School,University of Salford;politician;14;05;1958
David Cormand;;;Mont-Saint-Aignan;http://www.wikidata.org/entity/Q1055925;;;University of Rouen;politician;30;11;1974
Stefan Berger;;;Mönchengladbach;http://www.wikidata.org/entity/Q2758;;;Johannes Gutenberg University Mainz;politician;15;09;1969
Geert Bourgeois;;;Roeselare;http://www.wikidata.org/entity/Q211037;;;Ghent University;politician,lawyer;06;07;1951
Lars Patrick Berg;;;Frankfurt;http://www.wikidata.org/entity/Q1794;;;;politician;22;01;1966
Eero Heinäluoma;;;Kokkola;http://www.wikidata.org/entity/Q207891;;;;politician;04;07;1955
Ville Niinistö;Kari Niinistö;;Turku;http://www.wikidata.org/entity/Q38511;Kari Niinistö,Sauli Niinistö;;University of Turku;politician;30;07;1976
Pietro Bartolo;;;Lampedusa e Linosa;http://www.wikidata.org/entity/Q224813;;;University of Catania;doctor,politician;10;02;1956
Sandra Kalniete;;;Togur;http://www.wikidata.org/entity/Q4459314;;;Art Academy of Latvia;politician,official;22;12;1952
