name;father;mother;born_place;birthplace_link;relatives;degrees;educated_at;occupation;born_day;born_month;born_year
Dennis Radtke;;;Bochum;http://www.wikidata.org/entity/Q2103;;;;politician,trade unionist;29;04;1979
Cristian Bușoi;;;Drobeta-Turnu Severin;http://www.wikidata.org/entity/Q193890;;;Victor Babeș University of Medicine and Pharmacy,Titu Maiorescu University,Carol I National Defence University,Carol Davila University of Medicine and Pharmacy;doctor,politician;01;03;1978
Javier Moreno Sánchez;;;Geneva;http://www.wikidata.org/entity/Q71;;;;politician;12;03;1965
Evžen Tošenovský;;;Ostrava;http://www.wikidata.org/entity/Q8385;;;VSB – Technical University of Ostrava;politician;26;02;1956
Jonathan Bullock;;;Nottingham;http://www.wikidata.org/entity/Q41262;;;University of Portsmouth,Nottingham High School;politician;03;03;1963
Dimitris Papadimoulis;;;Athens;http://www.wikidata.org/entity/Q1524;;;National Technical University of Athens;politician;21;03;1955
Anna Bonfrisco;;;Riva del Garda;http://www.wikidata.org/entity/Q194136;;;;businessperson,politician;12;10;1962
Carlo Fidanza;;;San Benedetto del Tronto;http://www.wikidata.org/entity/Q13140;;;;politician;21;09;1976
Jarosław Kalinowski;;;Wyszków;http://www.wikidata.org/entity/Q910997;;;Warsaw University of Life Sciences;politician,farmer;12;04;1962
Lívia Járóka;;;Tata;http://www.wikidata.org/entity/Q329768;;;University College London,Central European University,University of Sopron;politician;06;10;1974
Elena Yoncheva;;;Sofia;http://www.wikidata.org/entity/Q472;;;Moscow State University;politician,media;27;05;1964
Eider Gardiazábal Rubial;José Gardiazábal;Lentxu Rubial;Bilbao;http://www.wikidata.org/entity/Q8692;José Gardiazábal,Lentxu Rubial,Ramón Rubial;;;politician;12;07;1975
Andris Ameriks;;;Jūrmala;http://www.wikidata.org/entity/Q178382;;;University of Latvia,Riga Technical University;politician,researcher;05;03;1961
Gianna Gancia;;;Bra;http://www.wikidata.org/entity/Q18382;;;;businessperson,politician;31;12;1972
Giorgio Kyrtsos;;;Athens;http://www.wikidata.org/entity/Q1524;;;;politician,media,writer;04;06;1952
Joachim Brudziński;;;Świerklaniec;http://www.wikidata.org/entity/Q387571;;;University of Szczecin;researcher,politician,media;04;02;1968
Francisco José Millán Mon;;;Pontevedra;http://www.wikidata.org/entity/Q12411;;;;politician,official;08;03;1955
María Soraya RODRÍGUEZ RAMOS;;;Valladolid;http://www.wikidata.org/entity/Q8356;;;University of Valladolid;politician,lawyer;01;12;1963
Barry Andrews;David Andrews;;Dublin;http://www.wikidata.org/entity/Q1761;David Andrews;university;University College Dublin;teacher,politician,lawyer;16;05;1967
Luke 'Ming' Flanagan;;;Roscommon;http://www.wikidata.org/entity/Q677631;;;;politician;22;01;1972
Damien Carême;;;Jœuf;http://www.wikidata.org/entity/Q453411;;;;politician;16;11;1960
Irene Tinagli;;;Empoli;http://www.wikidata.org/entity/Q6697;;;Carnegie Mellon University,Bocconi University;politician,researcher;16;04;1974
Ciarán Cuffe;;;Shankill;http://www.wikidata.org/entity/Q2588702;;;University College Dublin,University of Maine;politician;03;04;1963
Thomas Waitz;;;Vienna;http://www.wikidata.org/entity/Q1741;;;;politician,farmer;16;05;1973
Massimiliano Salini;;;Soresina;http://www.wikidata.org/entity/Q42929;;;University of Milan;politician;11;03;1973
Massimiliano Smeriglio;;;Rome;http://www.wikidata.org/entity/Q220;;;Sapienza University of Rome;politician;08;05;1966
Milan Uhrík;;;Nové Zámky;http://www.wikidata.org/entity/Q276362;;;Slovak University of Technology in Bratislava;politician;21;12;1984
Giuseppina Picierno;;;Santa Maria Capua Vetere;http://www.wikidata.org/entity/Q58894;;;University of Salerno;politician;10;05;1981
Raffaele Stancanelli;;;Regalbuto;http://www.wikidata.org/entity/Q56210;;;University of Catania;politician;30;06;1950
Sandro Gozi;;;Sogliano al Rubicone;http://www.wikidata.org/entity/Q99958;;;Sciences Po,University of Bologna,Free University of Brussels,Université Libre de Bruxelles;politician;25;03;1968
Aileen McLeod;;;East Kilbride;http://www.wikidata.org/entity/Q654226;;;University of Edinburgh,University of Central Lancashire;politician;24;08;1971
Jordan Bardella;;;Drancy;http://www.wikidata.org/entity/Q201348;;;Paris-Sorbonne University - Paris IV;politician,student;13;09;1995
Abir Al-Sahlani;;;Nasiriyah;http://www.wikidata.org/entity/Q38811;;;Mid Sweden University;politician;18;05;1976
Jean-Lin Lacapelle;;;Lyon;http://www.wikidata.org/entity/Q456;;;;official,politician;17;04;1967
Véronique Trillet-Lenoir;;;6th arrondissement of Lyon;http://www.wikidata.org/entity/Q3358;;phd;Claude Bernard University Lyon 1;politician,teacher,oncologist;12;06;1957
Ljudmila Novak;;;Maribor;http://www.wikidata.org/entity/Q1010;;;University of Maribor;politician,esperantist,slavist;01;08;1959
Krzysztof Jurgiel;;;Ogrodniczki;http://www.wikidata.org/entity/Q5740295;;;Warsaw University of Technology;surveyor,politician;18;11;1953
Anna Fotyga;;;Lębork;http://www.wikidata.org/entity/Q497148;;;Defenders of Westerplatte High School in Gdańsk,University of Gdańsk;politician,trade unionist,official;12;01;1957
Elżbieta Łukacijewska;;;Jasło;http://www.wikidata.org/entity/Q848983;;;Rzeszów University of Technology;politician;25;11;1966
Tatjana Ždanoka;;;Riga;http://www.wikidata.org/entity/Q1773;;phd;University of Latvia;politician,teacher,researcher;08;05;1950
Karima Delli;;;Roubaix;http://www.wikidata.org/entity/Q34001;;;Sciences Po Lille;politician;04;03;1979
Isabel Santos;;;Valbom;http://www.wikidata.org/entity/Q993906;;;;politician;12;02;1968
Lara Comi;;;Garbagnate Milanese;http://www.wikidata.org/entity/Q42291;;;Università Cattolica del Sacro Cuore,Bocconi University;politician;18;02;1983
Sven Simon;;;Wetzlar;http://www.wikidata.org/entity/Q4178;;;University of Giessen;politician,teacher,lawyer;09;10;1978
Teuvo Hakkarainen;;;Viitasaari;http://www.wikidata.org/entity/Q935847;;;;politician;12;04;1960
Vilija Blinkevičiūtė;;;Linkuva;http://www.wikidata.org/entity/Q1656462;;;Vilnius University Faculty of Law;politician,lawyer;03;03;1960
Tomislav Sokol;;;Zagreb;http://www.wikidata.org/entity/Q1435;;;University of Zagreb;politician;20;09;1982
Mercedes Bresso;;;Sanremo;http://www.wikidata.org/entity/Q33962;;;University of Turin;politician,researcher;12;07;1944
Esther de Lange;;;Spaubeek;http://www.wikidata.org/entity/Q3030263;;;Utrecht University;politician;19;02;1975
Marina Kaljurand;;;Tallinn;http://www.wikidata.org/entity/Q1770;;;University of Tartu,The Fletcher School of Law and Diplomacy,Tufts University;politician,lawyer,official,athlete;06;09;1962
Sylvie Guillaume;;;Antony;http://www.wikidata.org/entity/Q205592;;;;politician;11;06;1962
Fabienne Keller;;;Sélestat;http://www.wikidata.org/entity/Q22737;;;Lycée Kléber,École polytechnique,French National School of Forestry,University of California, Berkeley;politician,banker;20;10;1959
Marisa Matias;;;Coimbra;http://www.wikidata.org/entity/Q45412;;;University of Coimbra;politician,researcher;20;02;1976
Antonio Tajani;;;Rome;http://www.wikidata.org/entity/Q220;;;Sapienza University of Rome;politician,lawyer,media;04;08;1953
Monika Beňová;;;Bratislava;http://www.wikidata.org/entity/Q1780;;;Faculty of Political Science and International Relations, Matej Bel University;politician;15;08;1968
Catherine Bearder;;;Broxbourne;http://www.wikidata.org/entity/Q19791;;;St Christopher School;politician;14;01;1949
Anthea McIntyre;;;London;http://www.wikidata.org/entity/Q84;;;Claremont Fan Court School;businessperson,politician;29;06;1954
Yannick Jadot;;;Clacy-et-Thierret;http://www.wikidata.org/entity/Q847885;;;Paris Dauphine University;politician,activist;27;07;1967
Michèle Rivasi;;;Montélimar;http://www.wikidata.org/entity/Q234270;;;École normale supérieure de Fontenay-Saint-Cloud;politician,activist;09;02;1953
Rovana Plumb;;;Bucharest;http://www.wikidata.org/entity/Q19660;;;Politehnica University of Bucharest,Bucharest University of Economic Studies;politician;22;06;1960
Arnaud Danjean;;;Louhans;http://www.wikidata.org/entity/Q460787;;;Sciences Po;politician,official;11;02;1971
Patrizia Toia;;;Pogliano Milanese;http://www.wikidata.org/entity/Q42459;;;University of Milan,Bocconi University;politician;17;03;1950
Sophie in 't Veld;;;Vollenhove;http://www.wikidata.org/entity/Q81132;;;Leiden University;politician;13;09;1963
Udo Bullmann;;;Giessen;http://www.wikidata.org/entity/Q3874;;;University of Giessen;politician;08;06;1956
Alyn Smith;;;Glasgow;http://www.wikidata.org/entity/Q4093;;;Nottingham Trent University,Nottingham Law School,University of Leeds,Heidelberg University,College of Europe;politician,lawyer;15;09;1973
Asim Ademov;;;Dabnitsa;http://www.wikidata.org/entity/Q2653490;;;;politician;03;12;1968
Christel Schaldemose;;;Odense;http://www.wikidata.org/entity/Q25331;;;University of Southern Denmark;politician,researcher;04;08;1967
Jessica Polfjärd;;;Seoul;http://www.wikidata.org/entity/Q8684;;;;politician;27;05;1971
Sirpa Pietikäinen;;;Parikkala;http://www.wikidata.org/entity/Q240086;;;Aalto University School of Business;politician;19;04;1959
Marie Arena;;;Mons;http://www.wikidata.org/entity/Q21765937;;licentiate;Catholic university of Mons;politician,official;17;12;1966
Frédérique Ries;;;Balen;http://www.wikidata.org/entity/Q723651;;;University of Liège;politician,media;14;05;1959
Karoline Edtstadler;;;Salzburg;http://www.wikidata.org/entity/Q34713;;university;Musisches Gymnasium Salzburg,University of Salzburg;politician,lawyer;28;03;1981
Iratxe García;;;Barakaldo;http://www.wikidata.org/entity/Q487801;;;University of Valladolid;social worker,politician;07;10;1974
Tanja Fajon;;Neva Fajon;Ljubljana;http://www.wikidata.org/entity/Q437;Neva Fajon;;University of Paris,University of Ljubljana;politician,media;09;05;1971
Filip De Man;Jos De Man;;Roeselare;http://www.wikidata.org/entity/Q211037;Jos De Man;;;politician,media;11;11;1955
Mairead McGuinness;;;Ardee;http://www.wikidata.org/entity/Q638781;;;Ardee Community School,University College Dublin;politician,media;13;06;1959
Mairead McGuinness;;;Drogheda;http://www.wikidata.org/entity/Q207223;;;Ardee Community School,University College Dublin;politician,media;13;06;1959
Alice Bah Kuhnke;;;Västra Skrävlinge församling;http://www.wikidata.org/entity/Q10718358;;university;Stockholm University;athlete,politician,media;21;12;1971
Carles Puigdemont i Casamajó;Xavier Puigdemont Oliveras;Núria Casamajó;Amer;http://www.wikidata.org/entity/Q13022;Xavier Puigdemont Oliveras,Núria Casamajó;;;politician,media,activist;29;12;1962
André Rougé;;;Paris;http://www.wikidata.org/entity/Q90;;;;politician;23;12;1961
Erik Bergkvist;;;Norsjö;http://www.wikidata.org/entity/Q10603015;;;Umeå University;politician;01;05;1965
Jutta Paulus;;;Giessen;http://www.wikidata.org/entity/Q3874;;;University of Marburg,Herderschule Gießen;politician;09;05;1967
Andrey Kovatchev;;;Sofia;http://www.wikidata.org/entity/Q472;;;Saarland University;politician;13;12;1967
Annie Schreijer-Pierik;;;Diepenheim;http://www.wikidata.org/entity/Q2243026;;;;politician,farmer;17;02;1953
Annunziata Rees-Mogg;William Rees-Mogg;Gillian Shakespeare Morris;Bath;http://www.wikidata.org/entity/Q22889;William Rees-Mogg,Gillian Shakespeare Morris;;Godolphin and Latymer School;politician;25;03;1979
Ana Miranda Paz;;;Cuntis;http://www.wikidata.org/entity/Q1631860;;;University of Santiago de Compostela;politician,lawyer;02;05;1971
Stéphane Séjourné;;;Versailles;http://www.wikidata.org/entity/Q621;;;University of Poitiers;politician,official;26;03;1985
Silvia Sardone;;;Milan;http://www.wikidata.org/entity/Q490;;;Bocconi University;politician;25;12;1982
Beata Szydło;;;Oświęcim;http://www.wikidata.org/entity/Q7342;;;Krakow University of Economics,SGH Warsaw School of Economics,Jagiellonian University;politician,ethnologist;15;04;1963
Inmaculada Rodríguez-Piñero;;;Madrid;http://www.wikidata.org/entity/Q2807;;;University of Minnesota;politician,researcher;07;01;1958
Pernando Barrena;;;Pamplona;http://www.wikidata.org/entity/Q10282;;;;translator,politician;01;11;1965
Rosa ESTARÀS FERRAGUT;;;Valldemossa;http://www.wikidata.org/entity/Q832967;;;University of the Balearic Islands;politician,lawyer;21;10;1965
Andrea Cozzolino;;;Naples;http://www.wikidata.org/entity/Q2634;;;;politician;03;08;1962
Bogusław Liberadzki;;;Sochaczew;http://www.wikidata.org/entity/Q250485;;university,phd;SGH Warsaw School of Economics;politician,teacher,official,researcher;12;09;1948
Heléne Fritzon;;;Kristianstads parish;http://www.wikidata.org/entity/Q10549200;;;;politician,official;29;09;1960
Karin Karlsbro;;;Q10657089;http://www.wikidata.org/entity/Q10657089;;;Stockholm University,London School of Economics and Political Science;politician;23;09;1970
Andreas Glück;;;Münsingen (Württemberg);http://www.wikidata.org/entity/Q557809;;;University of Tübingen;doctor,politician;08;03;1975
Sara Skyttedal;;;Tyresö;http://www.wikidata.org/entity/Q10707702;;;Södertörn University,Stockholm University;politician;06;08;1986
Jytte Guteland;;;Brännkyrka parish;http://www.wikidata.org/entity/Q10436974;;;Södertörn University;politician;16;09;1979
Martina Anderson;;;Derry;http://www.wikidata.org/entity/Q163584;;;The Open University,St Cecilia's College;politician;16;04;1962
Andreas Schieder;Peter Schieder;;Vienna;http://www.wikidata.org/entity/Q1741;Peter Schieder;;University of Vienna;politician;16;04;1969
Bronis Ropė;;;Ignalina;http://www.wikidata.org/entity/Q658218;;;Kaunas University of Technology;politician;14;04;1955
Dino Giarrusso;;;Catania;http://www.wikidata.org/entity/Q1903;;;University of Siena;screenwriter,politician,television personality,actor;11;09;1974
Brice Hortefeux;;;Neuilly-sur-Seine;http://www.wikidata.org/entity/Q48958;;;Paris Nanterre University,Sciences Po,Institut national des études territoriales,University of Paris;politician;11;05;1958
Pablo Arias Echeverría;;;Madrid;http://www.wikidata.org/entity/Q2807;;;;politician;30;06;1970
Charlie Weimers;;;Q10516910;http://www.wikidata.org/entity/Q10516910;;;;politician;12;11;1982
Claire Fox;;;Barton upon Irwell;http://www.wikidata.org/entity/Q4865580;;;University of Greenwich,University of Warwick,St Richard Gwyn Catholic High School, Flint;politician,writer;05;06;1960
Fredrick Federley;;;Köping;http://www.wikidata.org/entity/Q174126;;;Örebro University;politician,media;06;05;1978
Giuseppe Ferrandino;;;Ischia;http://www.wikidata.org/entity/Q72134;;;University of Naples Federico II;politician;21;03;1963
Danilo Oscar Lancini;;;Rovato;http://www.wikidata.org/entity/Q111639;;;;politician;15;10;1965
Janusz Lewandowski;;;Lublin;http://www.wikidata.org/entity/Q37333;;;University of Gdańsk;politician,athlete,researcher;13;06;1951
Iuliu Winkler;;;Hunedoara;http://www.wikidata.org/entity/Q215719;;;Politehnica University of Timișoara;engineer,politician;14;03;1964
Dan Nica;;;Sihlea;http://www.wikidata.org/entity/Q899454;;;Gheorghe Asachi Technical University of Iași;engineer,politician;02;07;1960
David Bull;;;Farnborough;http://www.wikidata.org/entity/Q123229;;;St. Mary's Hospital,Framlingham College,Ipswich School,Fairfield Preparatory School;politician;09;05;1969
David Lega;;;Gothenburg;http://www.wikidata.org/entity/Q25287;;;;businessperson,politician,athlete;12;10;1973
Hannah Neumann;;;Speyer;http://www.wikidata.org/entity/Q6829;;;Free University Berlin;politician;03;04;1984
Dinesh Dhamija;;;Canberra;http://www.wikidata.org/entity/Q3114;;;St. Xavier's School, Delhi,Fitzwilliam College;politician;28;03;1950
Judith Bunting;;;Peterborough;http://www.wikidata.org/entity/Q172438;;;Peterborough County Grammar School for Girls,Fitzwilliam College;politician;27;11;1960
Angelika Winzig;;;Attnang-Puchheim;http://www.wikidata.org/entity/Q261216;;;Vienna University of Economics and Business;politician;09;05;1963
Frances Fitzgerald;;;Croom;http://www.wikidata.org/entity/Q2670286;;;University College Dublin,London School of Economics and Political Science;politician;01;08;1950
Miapetra Kumpula-Natri;;;Vaasa;http://www.wikidata.org/entity/Q125080;;;;politician;19;05;1972
Peter van Dalen;;;Zwijndrecht;http://www.wikidata.org/entity/Q244692;;;Utrecht University;politician,researcher;03;09;1958
Morten Løkkegaard;;;Helsingør;http://www.wikidata.org/entity/Q26881;;;Danish School of Journalism;politician,media,communications adviser;20;12;1964
France Jamet;Alain Jamet;;Paris;http://www.wikidata.org/entity/Q90;Alain Jamet,Dominique Jamet,Marc-Antoine Jamet;;;politician;05;02;1961
Magid Magid;;;Burao;http://www.wikidata.org/entity/Q948448;;;Fir Vale School,Longley Park Sixth Form College,University of Hull;politician,activist,artist;26;06;1989
Gabriel Mato Adrover;;;Madrid;http://www.wikidata.org/entity/Q2807;;;Autonomous University of Madrid;politician;29;04;1961
Gabriele Bischoff;;;Bad Wildungen;http://www.wikidata.org/entity/Q516462;;;;politician,trade unionist;04;01;1961
Sylwia Spurek;;;Skarżysko-Kamienna;http://www.wikidata.org/entity/Q644002;;phd;University of Łódź – Faculty of Law and Administration;politician,lawyer;29;01;1976
Patricia Chagnon;;;Eindhoven;http://www.wikidata.org/entity/Q9832;;;;politician,interpreter;20;11;1963
Mónica Silvana González;;;Buenos Aires;http://www.wikidata.org/entity/Q1486;;;National University of the Northeast;politician;12;02;1976
Jorge Buxadé Villalba;;;Barcelona;http://www.wikidata.org/entity/Q1492;;;Abat Oliba CEU University;politician,teacher,lawyer;16;06;1975
Gheorghe Falcă;;;Brad;http://www.wikidata.org/entity/Q841511;;;Politehnica University of Timișoara;engineer,politician;22;01;1967
Raphaël Glucksmann;André Glucksmann;Françoise Villette;Boulogne-Billancourt;http://www.wikidata.org/entity/Q172455;André Glucksmann,Françoise Villette;;Sciences Po,Lycée Lamartine,Lycée Henri-IV;documentalist,non-fiction writer,researcher,politician,media;15;10;1979
Bartosz Arłukowicz;;;Resko;http://www.wikidata.org/entity/Q558723;;;University of Szczecin;politician,teacher,pediatrician;30;12;1971
Diana RIBA I GINER;;;Barcelona;http://www.wikidata.org/entity/Q1492;;;University of Barcelona;bookseller,politician,civil rights advocate,researcher;21;02;1975
Jordi Cañas Pérez;;;Barcelona;http://www.wikidata.org/entity/Q1492;;;University of Barcelona;politician;12;12;1969
Leszek Miller;;;Żyrardów;http://www.wikidata.org/entity/Q393251;Monika Miller;;Wyższa Szkoła Nauk Społecznych;researcher,politician,worker;03;07;1946
Janina Ochojska;;;Gdańsk;http://www.wikidata.org/entity/Q1792;;;Nicolaus Copernicus University in Toruń;politician,activist,astronomer;12;03;1955
Marek Belka;;;Łódź;http://www.wikidata.org/entity/Q580;;university,phd;Columbia University,IV Liceum Ogólnokształcące in Łódź,London School of Economics and Political Science,University of Łódź;politician,banker,researcher;09;01;1952
Jerzy Buzek;;;Smilovice;http://www.wikidata.org/entity/Q1017012;;university,phd;Silesian University of Technology;engineer,researcher,trade unionist,politician,teacher;03;07;1940
Włodzimierz Cimoszewicz;;;Warsaw;http://www.wikidata.org/entity/Q270;;phd;Columbia University,Q20033130,Faculty of Law and Administration, University of Warsaw;lawyer,official,farmer,politician,teacher;13;09;1950
Billy Kelleher;;;Cork;http://www.wikidata.org/entity/Q36647;;;Cork Institute of Technology;politician,farmer;20;01;1968
Alfred Sant;;;Pietà;http://www.wikidata.org/entity/Q744070;;;Harvard University,Harvard Business School,École nationale d'administration,Questrom School of Business,Boston University;politician,writer;28;02;1948
Grzegorz Tobiszowski;;;Ruda Śląska;http://www.wikidata.org/entity/Q108679;;;John Paul II Catholic University of Lublin;politician;01;11;1965
Jakop Dalunde;;;Sofia church parish;http://www.wikidata.org/entity/Q10673010;;;Stockholm University;politician;02;02;1984
Aurore Lalucq;;;Longjumeau;http://www.wikidata.org/entity/Q219045;;;Paris Dauphine University,University of Paris 1 Pantheon-Sorbonne;politician,researcher;17;04;1979
Katalin Cseh;;;Montreal;http://www.wikidata.org/entity/Q340;;;Eötvös Loránd University,Toldy Ferenc Gimnázium,Erasmus University Rotterdam,Semmelweis University;doctor,researcher,politician;29;06;1988
Anna Donáth;László Donáth;;Budapest;http://www.wikidata.org/entity/Q1781;László Donáth,Éva Bozóky,Ferenc Donáth;;Veres Péter Gimnázium,Eötvös Loránd University,Free University of Amsterdam,University of Amsterdam;politician,researcher;06;04;1987
Christophe Hansen;;;Wiltz;http://www.wikidata.org/entity/Q741589;;;Louis Pasteur University;politician;21;02;1982
Catherine Rowett;;;Yeovil;http://www.wikidata.org/entity/Q550110;;;King's College,University of Cambridge;politician,teacher,classical scholar,researcher;29;12;1956
Traian Băsescu;;;Murfatlar;http://www.wikidata.org/entity/Q593157;;;Mircea cel Bătrân Naval Academy;politician,ship captain,sailor;04;11;1951
Andrus Ansip;;;Tartu;http://www.wikidata.org/entity/Q13972;;;University of Tartu,York University,Estonian University of Life Sciences;businessperson,politician,entrepreneur,researcher;01;10;1956
Andrius Kubilius;Vytautas Kubilius;Janina Žėkaitė–Kubilienė;Vilnius;http://www.wikidata.org/entity/Q216;Vytautas Kubilius,Janina Žėkaitė–Kubilienė;;Vilnius University;politician,researcher;08;12;1956
Clara Aguilera García;;;Obéilar;http://www.wikidata.org/entity/Q2013268;;;;politician;03;01;1964
David Casa;;;Valletta;http://www.wikidata.org/entity/Q23800;;;;politician;16;11;1968
César Luena López;;;Bobadilla, La Rioja;http://www.wikidata.org/entity/Q1771913;;;University of La Rioja;politician;29;10;1980
Radosław Sikorski;;;Bydgoszcz;http://www.wikidata.org/entity/Q41252;;university;High School No. 1 in Bydgoszcz,Pembroke College,National Defence University of Warsaw;trade unionist,official,researcher,politician,media,writer;23;02;1963
José García-Margallo y Marfil;Manuel García-Margallo y Riaza;María de la Esperanza Marfil Calleja;Madrid;http://www.wikidata.org/entity/Q2807;Manuel García-Margallo y Riaza,María de la Esperanza Marfil Calleja,Juan García y Margallo;;Harvard Law School,University of Deusto;politician,lawyer,researcher;13;08;1944
Urmas Paet;;;Tallinn;http://www.wikidata.org/entity/Q1770;;;University of Tartu,University of Oslo;politician,media,official;20;04;1974
Pär Holmgren;;;Gävle Parish;http://www.wikidata.org/entity/Q10512441;;;Uppsala University;politician,meteorologist,writer;24;10;1964
Mara Bizzotto;;;Bassano del Grappa;http://www.wikidata.org/entity/Q47094;;;;politician;03;06;1972
Anne-Sophie Pelletier;;;Besançon;http://www.wikidata.org/entity/Q37776;;;;q2827803,politician;05;02;1976
Susanna Ceccardi;;;Pisa;http://www.wikidata.org/entity/Q13375;;;;politician;19;03;1987
Hermann Tertsch;Ekkehard Tertsch;;Madrid;http://www.wikidata.org/entity/Q2807;Ekkehard Tertsch,Loyola de Palacio,Luisa Mariana del Valle-Lersundi y del Valle,Ana de Palacio y del Valle-Lersundi;;;media,comedian,politician,writer;09;04;1958
Nacho Sánchez Amor;;;Jaraíz de la Vera;http://www.wikidata.org/entity/Q368372;;;Complutense University of Madrid;politician,lawyer;15;05;1960
Javier Nart;;;Laredo;http://www.wikidata.org/entity/Q828955;;;University of Barcelona;media,politician,lawyer,writer;19;08;1947
Manon Aubry;;;Fréjus;http://www.wikidata.org/entity/Q215155;;;Columbia University,Sciences Po,University of Sydney;politician,activist,athlete;22;12;1989
Antonio López-Istúriz White;;;Pamplona;http://www.wikidata.org/entity/Q10282;;;CEU San Pablo University;politician,lawyer;01;04;1970
Patricia Caro Maya;;;Arles;http://www.wikidata.org/entity/Q48292;;;;politician;01;01;1982
Markéta Gregorová;;;Most;http://www.wikidata.org/entity/Q146363;;university;Masaryk University;politician;14;01;1993
María Eugenia Rodríguez Palop;;;Llerena;http://www.wikidata.org/entity/Q686184;;;Comillas Pontifical University,Universidad Carlos III de Madrid;essayist,senior lecturer,columnist,researcher,politician,lawyer;09;03;1970
Hélène Laporte;;;Villeneuve-sur-Lot;http://www.wikidata.org/entity/Q205638;;;University of Bordeaux;politician,q63755480;29;12;1978
Virginie Joron;;;Troyes;http://www.wikidata.org/entity/Q5489;;;University of Nice Sophia Antipolis;politician,cadre,lawyer;11;12;1973
Magdalena Adamowicz;;;Słupsk;http://www.wikidata.org/entity/Q105048;;phd;Faculty of Law and Administration, University of Gdańsk;politician,teacher;10;04;1973
Niyazi Kızılyürek;;;Potamia;http://www.wikidata.org/entity/Q1632691;;university;University of Bremen;politician,researcher;07;12;1959
Ivan David;;;Prague;http://www.wikidata.org/entity/Q1085;;;Charles University;doctor,politician;24;09;1952
Mislav Kolakušić;;;Zagreb;http://www.wikidata.org/entity/Q1435;;;Faculty of Law of the University of Zagreb;politician,lawyer;15;09;1969
Jan Olbrycht;;;Rybnik;http://www.wikidata.org/entity/Q107094;;;Jagiellonian University;politician,researcher;21;09;1952
Sira Rego;;;Valencia;http://www.wikidata.org/entity/Q8818;;;;politician,nutritionist;20;11;1973
Álvaro Amaro;;;Coimbra;http://www.wikidata.org/entity/Q45412;;;University of Coimbra;politician;25;05;1953
Álvaro Amaro;;;Ribamondego;http://www.wikidata.org/entity/Q32583;;;University of Coimbra;politician;25;05;1953
André Bradford;;;Ponta Delgada;http://www.wikidata.org/entity/Q208149;;;Catholic University of Portugal;politician;30;11;1970
Anna Deparnay-Grunenberg;;;Berlin;http://www.wikidata.org/entity/Q64;;;;politician;05;06;1976
Klemen Grošelj;;;Kranj;http://www.wikidata.org/entity/Q1021;;;University of Ljubljana;researcher,politician;08;03;1976
Pernille Weiss;;;Denmark;http://www.wikidata.org/entity/Q35;;;University of Southern Denmark,Copenhagen Business School;businessperson,politician,doctor;12;03;1968
Martin Hlaváček;;;Prague;http://www.wikidata.org/entity/Q1085;;;Czech University of Life Sciences Prague;manager,politician,researcher;14;01;1980
Cristina Maestre;;;Ciudad Real;http://www.wikidata.org/entity/Q15093;;;;social worker,politician;27;07;1975
David McAllister;;;Berlin;http://www.wikidata.org/entity/Q64;;;Leibniz University Hannover;politician,lawyer;12;01;1971
Tomas Tobé;;;Gävle Staffan church parish;http://www.wikidata.org/entity/Q10512443;;;;politician;16;02;1978
Rareș Bogdan;;;Ocna Mureș;http://www.wikidata.org/entity/Q837152;;;Babeș-Bolyai University;politician,media;17;09;1974
Jörgen Warborn;;;Varbergs;http://www.wikidata.org/entity/Q10712922;;;;businessperson,politician;23;01;1969
Alexander Bernhuber;;;St. Pölten;http://www.wikidata.org/entity/Q21880507;;;University of Natural Resources and Life Sciences, Vienna;politician;18;05;1992
Michal Wiezik;;;Martin;http://www.wikidata.org/entity/Q27001;;;Technical University in Zvolen;researcher,politician;14;06;1979
Róbert Hajšel;;;Banská Štiavnica;http://www.wikidata.org/entity/Q208110;;;Moscow State Institute of International Relations;politician,media;28;03;1967
Zbigniew Kuźmiuk;;;Komorowo, Ostrów Mazowiecka County;http://www.wikidata.org/entity/Q6428536;;;Kielce University of Technology;politician,researcher;19;09;1956
Marie Dauchy;;;Calais;http://www.wikidata.org/entity/Q6454;;;;employee,politician;05;02;1987
Romana Jerković;;;Split;http://www.wikidata.org/entity/Q1663;;;University of Rijeka;doctor,politician;28;11;1964
Susana Solís Pérez;;;Avilés;http://www.wikidata.org/entity/Q14649;;;University of Oviedo,IE Business School,Osnabrück University of Applied Sciences;engineer,politician;21;12;1971
Lídia Pereira;;;Coimbra;http://www.wikidata.org/entity/Q45412;;;University of Coimbra,College of Europe;designer,politician,artist;26;07;1991
Stéphane Bijoux;;;Saint-Denis;http://www.wikidata.org/entity/Q47045;;;Bordeaux Montaigne University;politician,media;08;10;1970
Edina Tóth;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Pázmány Péter Catholic University;politician;11;03;1975
Ernő Schaller-Baross;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Károli Gáspár University of the Reformed Church in Hungary;politician;30;01;1987
Sándor Rónai;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Eötvös Loránd University;politician;22;11;1988
Sylvie Brunet;;;Versailles;http://www.wikidata.org/entity/Q621;;;;politician,lawyer;12;03;1959
Carmen Avram;;;Vișeu de Sus;http://www.wikidata.org/entity/Q596609;;;National School of Political and Administrative Studies,Gheorghe Asachi Technical University of Iași;engineer,politician,media;08;05;1966
