identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
40599;19;4;1959;Parikkala;ECON,FEMM,DPAL,DMED,BUDG,ENVI,FISC,DPAP;secondary,university;teacher
1892;20;5;1960;Lisboa;CONT,DACP,DAFR,REGI,D-ZA;;
96776;13;4;1954;Kraków;IMCO,DCAS,ENVI,LIBE;university;politician,official,manager
197448;20;2;1986;Essen;BUDG,ECON,FISC,D-CA,ITRE,D-US;;
24942;2;5;1971;Cuntis;PETI,PECH,REGI,DROI,DPAL,D-BR,DAND,DMED,DLAT;;
197668;15;6;1986;Arad;REGI,D-AL,IMCO,CULT,D-ME;;
198176;13;4;1967;Grieskirchen;INTA,FISC,DSCA,D-ZA,DEPA,AFET,ECON,TRAN,D-UK,DEEA,D-US,DCAS;;
185619;5;12;1985;;ENVI,JURI,SANT,D-CA,D-AL;university;lawyer,teacher,researcher
23781;13;6;1951;Lublin;BUDG,DASE,ECON,ITRE,DAND,DLAT;university,phd;teacher
124760;21;12;1977;Saint-Germain-en-Laye;EMPL,REGI;;
28340;17;3;1950;;ITRE,DEEA,DAND,DEVE,TRAN,DLAT;;
197504;1;7;1984;Saint-Remy;AGRI,D-BR,INTA,DPAP;secondary;farmer
197527;5;2;1976;Besançon;IMCO,D-JP,DASE,TRAN,LIBE,PETI,DANZ;;
197701;9;6;1964;Athens;LIBE,D-RU,EMPL,D-TR,D-IQ;;
124713;2;11;1979;Havlíčkův Brod;DCAS,AFET,EMPL,D-JP,DSAS,LIBE,DACP,DAFR;university;media,manager
197731;11;4;1968;Dublin;D-AF,LIBE,INTA,TRAN,SEDE,D-RU;;
28229;14;7;1972;Niederhatzkofen;;secondary,university;politician
197795;25;12;1988;FOGGIA;TRAN,D-CL,DACP,DPAC,PETI;;
197626;29;1;1956;MALESTROIT;BUDG;;
197788;12;10;1962;Riva del Garda;AFET,D-IL,DSAS,DASE,DNAT,SEDE,D-US;;
190774;12;4;1976;Boulogne-Billancourt;JURI,D-US,IMCO,DPAP;university;
125109;;;;;ITRE;university,phd;media,politician,official,manager,consultant
249284;1;3;1973;Thionville;ENVI,PETI,DPAL,D-AF,DSAS,DMED,ECON;;
197539;18;6;1986;Praha;ITRE,D-UA,CONT,ECON,FISC;;
197595;6;4;1987;Magyarország;LIBE,D-AL,EMPL,D-TR,D-RU;;
122978;15;10;1993;;EMPL,DCAM,DLAT,ITRE,DMAG;university;politician,official
197480;1;7;1962;Berlin;;;
254722;12;2;1951;Vila Franca (Viana do Castelo);BUDG,AGRI,D-BR,DMER,DLAT,EMPL,DMAG,DMED;;
124973;8;11;1958;Antwerpen;ECON,AFCO,D-US;university;
254718;18;10;1976;Lisboa;AFET,ITRE,DROI,SANT,DPAL,DMAS,DMED,ENVI;;
197528;31;8;1984;Sušice;REGI,D-ME,ENVI,SANT,D-AL;;
250538;15;2;1978;Ciechanów;BUDG,D-RU,AGRI,D-UA,DEPA;;
197564;15;7;1955;;;;
2054;14;11;1955;Oulu;INTA,DROI,DASE,DEPA,JURI,D-RU,DSCA;;
197530;2;1;1967;Lodz;SANT,ENVI,D-JP,EMPL,DAND,DLAT;;
96668;26;4;1952;Killarney;D-UK,ITRE,DASE,INTA,AFCO,D-ZA;;
197808;10;2;1956;Lampedusa;LIBE,BUDG,PECH,DMAS,DACP,DPAC,D-IQ;;
112744;31;8;1961;Mali Lošinj;AFET,DSEE,DEPA,ECON,AGRI,D-RS,D-US;university;researcher
2341;22;4;1960;Frankfurt/Main;DACP,DAFR,AFET,D-ZA,TRAN,SEDE,DPAP;university;lawyer,official
197577;4;7;1971;Paris;CONT,ECON,FISC,DSEE,AFCO,DEEA;;
197709;2;8;1966;Rotterdam;ITRE,D-RU,ENVI;;
125064;11;9;1965;Larisa;ENVI,ITRE,REGI,D-MK;secondary,university;media,politician
72779;6;11;1963;Nancy;LIBE,DPAP,DEVE,DACP,DCAB;;
197511;14;3;1971;Aubervilliers;AFET,DROI,DMED,CULT,DPAL;;
197553;15;4;1963;Oswiecim;EMPL,ITRE,D-US,DSCA,DEPA;;
197522;2;12;1968;Pardubice;FEMM,SANT,D-MD,ENVI,D-CL,DEPA;;
197580;25;6;1987;Busto Arsizio;ITRE,FEMM,D-ZA,IMCO,DMAS;university;lawyer
197776;5;10;1969;Groningen;D-CN,ITRE,CULT,LIBE;;
197783;5;3;1961;Riga;TRAN,DCAS,PETI,ITRE,D-RU;;
4344;;;;;DPAP,ENVI,FEMM,DLAT,AFET,DEVE,DROI,DAND,DACP,DAFR;;
197439;8;3;1988;Frankfurt am Main;AFCO,D-CA,BUDG,ECON,ITRE,LIBE,D-US;;
202073;12;3;1963;Luxembourg-Ville;EMPL,PETI,D-CL,DLAT,ECON,IMCO,D-CN;university;teacher
204334;18;12;1986;;LIBE,D-AF,ENVI,DMED,DACP,DAFR;;
197632;23;12;1988;Feldkirch;DEEA,ITRE,ENVI,D-MK;university;
4746;27;7;1959;Vicenza;ENVI,DMAS,DARP,DMED,INTA,DMAG;university;manager
197556;24;9;1952;;AGRI,D-CN,DCAS,ENVI,ITRE,D-RU;;
197754;18;3;1977;;DLAT,EMPL,FEMM,ITRE,AGRI,DMER;;
197779;16;11;1970;Madrid;TRAN,DARP,AFET,D-US;university;
197820;21;1;1976;Roma;DSAS,ENVI,AGRI,DEEA;secondary,university;media,politician,manager
197870;16;10;1989;Vlissingen;IMCO,DANZ,EMPL;;
197584;22;11;1988;Budapest;CONT,ENVI,DNAT,D-TR;;
197611;30;10;1967;San Daniele del Friuli;EMPL,AGRI,DMAS,ITRE,REGI,DEEA;;
197772;28;9;1961;Appeltern;AFET,LIBE,D-MK,D-BY,DACP,DAFR,DROI,D-TR,DMAG;;
197773;22;3;1972;Reimerswaal;D-IL,AGRI,PECH,DMED,AFET,D-IN;;
124770;23;5;1957;Tournan-en-Brie;D-CN,CONT;university;media
236052;20;11;1963;Eindhoven;LIBE,DLAT,AFET,D-CL,DASE;;
197505;29;11;1962;Bron;DEVE,DPAL,DMED,ENVI,PECH,DACP,DAFR;;
124726;4;6;1972;Joutsa;ITRE,TRAN,DARP,DACP,DAFR;university;media,teacher
28269;3;7;1940;Śmiłowice;ITRE,DNAT,SEDE,D-UA,DEPA;;
124777;4;2;1971;;INTA,D-US,DMED,BUDG,ITRE,DMAG;secondary,university;teacher
125065;14;9;1956;Athina;FEMM,TRAN,LIBE,D-TR;;
112747;28;11;1964;Split;ITRE,D-AL,ENVI,D-RU;;
197394;27;12;1989;Victoria;DANZ,ITRE,TRAN,REGI,D-CN,DMED;;
197426;9;10;1978;Lahn-Wetzlar;INTA,AFCO,DARP,AFET,ECON,DCAR,D-ZA,DACP,DPAC;phd;researcher
96747;11;2;1971;Louhans;INTA,SEDE,DCAR,DANZ,AFET,CONT,DASE;university,phd;politician,official,teacher
124700;15;10;1966;Tallinn;PETI,LIBE,D-RU,REGI,JURI,D-IQ;secondary,university;media
233862;10;4;1980;;DMAG,AFET,D-RS,LIBE,DACP,DAFR;university;politician
28122;16;11;1968;Valletta;EMPL,D-UK,DARP,ECON,D-TR,DMED;;
189065;5;2;1961;Paris;ECON,PECH,D-UK,D-IN,DMED,INTA,D-ME,DMAG,D-JP,DEPA;;
124785;7;11;1954;Berești - Galați;IMCO,CONT,LIBE,DEPA,TRAN,D-MD,D-JP;secondary;politician,engineer,manager,consultant
124866;16;9;1985;Sevlievo;D-TR,AFET,TRAN,JURI,DARP;university;politician
28346;12;7;1944;Sanremo (IM);DEVE,D-TR,DMED,AFET,ENVI,AFCO,DROI;;
197586;;;;;ENVI,DCAS;;
106936;14;10;1984;Aachen;CONT,AFCO,LIBE,D-ME,DASE;university;media,politician,manager
197675;;;;;AGRI,DSCA,ENVI,IMCO;secondary;politician
101039;27;5;1980;NEGRAR;ITRE,TRAN,D-TR,D-RS,DLAT;university;politician
197606;6;6;1960;Bilbao;JURI,LIBE,D-CA,AFET,D-IN,DLAT;university;media,politician,official,manager
123562;12;11;1982;HAMMARÖ;AFET,D-IQ,LIBE,D-US;;
197711;18;9;1973;Barcelona;PETI,ENVI,SANT,DMER,D-CN,D-US,DLAT;university,phd;lawyer
197641;23;3;1989;;ENVI,SANT,D-ZA,DLAT,TRAN,DCAM;university,phd;doctor,manager
197792;19;8;1967;Roma;EMPL,AGRI,D-US,DLAT;university;lawyer,teacher
185771;27;10;1978;Leuven;LIBE,DASE,IMCO,DCAR,D-JP,D-ZA;;
132191;;;;;;;
209896;3;1;1972;Drogheda;AGRI,DEEA,TRAN,PECH,D-UK,DMER;;
251249;2;7;1985;Valencia;PETI,DCAM,DLAT;;
197464;3;4;1984;Speyer;DARP,DROI,SEDE,D-IR,AFET,D-IQ;university,phd;teacher,manager,consultant
124862;7;12;1962;Augsburg;DANZ,AGRI,PETI,DSAS,ENVI,D-UK,DACP,DPAC;secondary,university;farmer
197543;;;;;DROI,AFET,D-RU,DMAS,DMED;;
2323;19;2;1957;Stuttgart - Bad Cannstatt;BUDG,AFCO,DACP,DPAC,PETI,DSEE;;
197475;;;;;;;
197818;20;1;1968;Cork;D-US,ECON,FISC,ENVI,SANT,DACP,DCAB;;
197804;11;9;1974;;AGRI,D-BR,INTA,D-TR;;
197849;13;8;1960;Sofia;CULT,D-AL,ENVI,PETI,D-TR;;
118949;21;8;1980;KYJOV;ECON,D-CA,TRAN,LIBE,FISC,D-UK,DEEA;;
197742;3;3;1977;Zaragoza;CONT,TRAN,DMAS,D-JP,REGI,DEEA;university;engineer,manager
96830;17;7;1968;Budapest;ECON,DAND,INTA,DCAM,DLAT;university,phd;politician,teacher,manager
197496;9;1;1952;Łódź;ECON,FISC,D-US,INTA,DCAM;;
88715;20;7;1976;Lisboa;ECON,FISC,D-US,EMPL,LIBE,D-CL,DLAT;;
197697;17;4;1979;Longjumeau;ECON,FISC,D-US,EMPL;;
125025;7;4;1962;Rotterdam;PETI;;
212855;24;5;1984;Novaci;CONT,REGI,D-MD,EMPL,ITRE,AGRI,AFCO,DEPA;university;lawyer,politician,official,manager
197763;;;;;LIBE,D-TR,AFET,D-RU;;
197647;11;9;1970;Orastie;REGI,D-CL,DLAT,ENVI,AGRI,D-JP;university;media,politician,teacher,manager
96885;18;9;1946;Valenciennes;TRAN,D-JP,ITRE,DANZ;university,phd;manager
202352;7;3;1971;Barcelona;DEVE,DANZ,ENVI,PETI,SANT,DAND,DACP,DAFR;;teacher
129073;20;4;1974;Tallinn;AFET,SEDE,D-CL,DASE,DLAT,INTA,D-JP;university;media,politician
96932;29;1;1960;Bochum;LIBE,DMAS,EMPL,DMAG;;
197771;27;5;1975;Bratislava;D-ME,LIBE,D-MK,AFET,AFCO,D-MD,DEPA;university,phd;teacher,manager
96752;26;3;1961;Bad Wildungen;AGRI,D-CL,ENVI,DMER,DLAT,DACP,DPAC;secondary,university;manager
237224;25;12;1986;Barreiro;D-BR,EMPL,PECH,D-RU,ENVI,CULT,PETI,DMER,DLAT;;consultant
197458;10;3;1970;Bastogne;TRAN,D-US,AGRI,DMAS,DMED;;
197423;11;3;1986;Hamburg;CONT,D-IN,D-JP;;
197766;28;11;1976;Bratislava;EMPL,LIBE,DACP,DCAB,CULT;;
37312;4;8;1967;Odense;D-JP,IMCO,ENVI,DEEA;;
197461;10;10;1979;Langenhagen;EMPL,DMAS,AFET,IMCO;;
197743;26;2;1970;;ENVI,FISC,D-IN,TRAN,D-CN;;
124856;14;1;1984;Roma;ITRE,DACP,DPAC,TRAN,DLAT;university;lawyer,politician,official,manager
230085;20;5;1975;Roma;BUDG,AGRI,D-CA,REGI,D-MD,DEPA;secondary,university;media,politician
202112;25;7;1954;București;AFET,SEDE,D-MD,D-IN,DEPA,DROI,DSCA,D-US,DACP,DCAB;secondary,university,phd;politician,official,teacher,researcher,manager
197800;4;7;1955;Kokkola;BUDG,ECON,D-UK,D-RU,SEDE,D-TR;;
197571;28;2;1983;Aarhus;EMPL,ENVI,D-UA,AFCO,D-TR,DPAL,DMAS,DMED;;
204418;22;7;1972;Port-Saint-Louis-du-Rhône;REGI,ITRE,TRAN,PECH,DCAR;;
197513;16;8;1974;Białystok;CULT,D-BY,DEPA,TRAN;university;
197410;15;9;1969;Mönchengladbach;ECON,D-JP,EMPL,ENVI,FISC,D-IL;;
192635;15;10;1965;Rovato (BS);INTA,DMER,ENVI,DASE;;
125063;4;6;1952;Athina;ECON,AFET,D-UK,D-RU,DLAT;university,phd;media,manager
96787;4;3;1969;Brixen;DLAT,AGRI,FISC,DAND,DASE,BUDG,ECON,REGI;;
197443;8;3;1975;;ENVI,SANT,D-ZA,ITRE,D-CA;university;
28288;21;9;1952;Rybnik;CONT,D-CA,BUDG,REGI,D-MK;university;politician,teacher,researcher,manager
197721;29;10;1980;Logrono;ENVI,DKOR,DPAL,TRAN,D-US,DLAT;university,phd;researcher
239255;9;7;1985;;DLAT,ENVI,TRAN,DPAL;;
197451;23;3;1970;Halle/Westfalen;D-UA,AFET,D-RS,D-RU,DEPA,CONT,ITRE,CULT,D-JP,D-CN;secondary,university;
197469;14;7;1980;Godyr;LIBE,DROI,D-US,AFET,SEDE;;
96810;21;9;1976;San Benedetto del Tronto;TRAN,D-RS,DCAM,DLAT,AFET,IMCO,D-BR,DMER;university;politician,official,consultant
197558;;;;;PECH,AGRI,ENVI,D-IL;;
197770;27;1;1977;Bratislava;ENVI,FEMM,DASE,DEPA,BUDG,ITRE,LIBE,D-UA;;
125042;11;11;1985;Madrid;DLAT,ENVI,SEDE,D-MX,AFET,DPAP;university;politician,teacher,manager
197526;;;;;FISC,AGRI,D-TR,ECON,PECH,D-US;;
197490;;;;;D-ZA,TRAN,LIBE,JURI,DACP,DAFR;;
249603;8;7;1994;Luxembourg;INTA,FISC,DAND,DLAT,ECON,ENVI,D-MX;university;engineer
23868;15;8;1968;Bratislava;CONT;university;manager
124710;28;10;1963;Zlín;CULT,DSCA,DEPA,AGRI,D-TR;university;politician,teacher
197692;9;7;1985;Athens;EMPL,PETI,SANT,DMAS,DMED,ENVI,REGI,DROI,D-IN;;
247737;8;2;1984;ÁVILA;AFCO,D-BR,DLAT,BUDG;university,phd;politician,teacher,manager
96998;24;1;1966;Wien;DSAS,ECON,FEMM,D-BR,DLAT,EMPL,FISC,D-MX;university;manager
197518;18;11;1953;Ogrodniki;AGRI,D-TR,REGI,D-IQ;;
198063;8;6;1977;Kecskemét;AFET,DACP,DAFR,INTA,DROI,D-US;university;consultant
96933;25;5;1962;Ljubljana;DSAS,CULT,AFET,DCAM,DLAT;;
124887;13;5;1966;Warszawa;DACP,DPAC,AFET,DROI,SANT,ENVI,D-UA,DEPA;;
28226;17;8;1963;München;ITRE,D-US,CULT,D-UK,D-IL,DMED;phd;manager
28615;20;6;1958;Rīga;ECON,TRAN,FISC,D-CN,BUDG,D-MX,D-UK,D-JP,DLAT;;
197722;15;5;1960;Cáceres;AFET,DROI,D-TR,DEPA,JURI,D-UK,DSCA,DLAT;university;lawyer,politician,official,manager
198490;27;6;1993;Chios;DCAR,INTA,ENVI,PETI,AGRI,SANT,D-CN;;
197608;6;9;1953;Cappella Maggiore;CULT,D-RU,ENVI,DEPA;;
197412;28;2;1973;Ratzeburg;BUDG,PECH,DACP,DAFR,CONT,D-IL,D-IR;secondary,university;politician,manager,consultant
197421;29;12;1961;Odivelas-Loures;AFET,DROI,D-TR,ITRE,LIBE,D-CN;university;teacher
30482;30;9;1969;Saint-Denis (Réunion);REGI,CONT,D-RU,BUDG,DARP,D-US;university;politician,official
197418;15;6;1984;;EMPL,CULT,DACP,DAFR,ECON,FISC;;
135511;6;4;1986;Château-Gontier;DASE,BUDG,ITRE,D-CL,DLAT,DACP,DPAC;;
202036;9;12;1968;Čakovec;AFET,DSEE,ENVI,D-US;university,phd;politician
197544;22;6;1955;Wschowa;EMPL,D-BR,DMER,DLAT,CONT,PECH,D-MD,DEPA;;
197506;10;11;1968;Oostende;REGI,PECH,DACP,DCAB,DEVE,D-UK;;
197618;17;5;1968;Modena;EMPL,D-RU,BUDG,ECON,D-ZA;university,phd;media,researcher,manager
38595;22;6;1960;Bucureşti;TRAN,D-CN,ENVI,REGI;university,phd;politician,engineer,manager
96750;14;9;1953;Ajaccio;AFET,REGI,D-UK,DMED,DACP,DPAC,AFCO,DMAS;;teacher,engineer
243912;22;9;1988;Ferentino;;secondary;manager
128483;11;8;1983;;;;
197481;28;1;1977;Dresden;;university,phd;lawyer,manager
96648;14;3;1963;Bruxelles;ECON;;
39725;14;3;1964;Hunedoara;INTA,D-CN,CULT,DANZ;university,phd;engineer,manager
96852;;;;;D-IR,LIBE,ITRE,D-UA;;
124586;28;11;1970;Budapest;AFET,D-UK,LIBE,D-CN,DASE;;
197549;14;1;1993;Most;DEPA,INTA,SEDE,DSCA,AFET,AFCO;university;politician
251324;16;5;1983;Bydgoszcz;AFET,SEDE,LIBE;;
124738;11;10;1958;Brest;AGRI,JURI,DMAG,DMED,AFCO;university,phd;official,teacher
107212;7;7;1988;PAZARDZHIK;BUDG,REGI,D-AL,CONT,TRAN,D-IL;;
124929;30;9;1961;Považská Bystrica;IMCO,D-JP,ITRE,DROI,D-UA,DEPA,DACP,DAFR;university,phd;official,engineer,manager
185341;;;;;AFET,DSEE,CULT,SEDE,D-US,DLAT;university;media,politician,manager
197525;3;12;1956;;ENVI,DCAM,DLAT,DEVE,FEMM,D-CN;;
250572;;;;;ITRE,D-UK,LIBE;;
197517;17;12;1974;Busko-Zdroj;SANT,ENVI,D-JP,ITRE,DSCA,DEPA;;
34578;28;3;1967;Banská Štiavnica;ITRE,DSCA,DEPA,AFET,ENVI,D-ME;;media,politician,manager
124799;24;6;1973;Vicenza;D-RS,AFET,ENVI,SANT,FEMM,DCAS;;
28400;8;3;1955;Pontevedra;PECH,AFET,D-UK,DCAS,D-CN;university;politician,official,teacher,manager
101585;29;6;1985;Kobenhavn;DARP,ITRE,D-CN,ECON,FISC,D-TR;university,phd;politician,official,teacher,researcher,manager,consultant
256134;24;3;1975;Riga;;;
28429;30;12;1962;Roma;INTA,DPAP,LIBE,DMAS;university;
124784;2;7;1960;Panciu;DPAC,D-JP,DACP,ITRE,D-US,ENVI,IMCO,D-UK;university,phd;politician,official,researcher,manager
190518;;;;;EMPL;university,phd;politician,official,researcher
96772;24;4;1959;Burgstädt;REGI,PETI,D-RU,AGRI,D-UA,DEPA;;
197520;8;5;1963;Mikołów;ITRE,DACP,DAFR,REGI,DASE;;
124822;;;;;AFET,DROI,D-IR,D-US,LIBE,D-IL;university,phd;official,researcher,manager
5392;12;4;1986;;JURI,CONT,D-CN,IMCO,D-US;;
112748;29;11;1971;Osijek;IMCO,DSAS,ENVI,D-MK;phd;doctor
197576;12;3;1959;Versailles;EMPL,DPAL,DMED,FEMM,DCAM,DLAT;university,phd;official,researcher,manager,consultant
197404;27;5;1971;Västerås;D-MX,ENVI,DLAT,ECON,EMPL,DEEA;;
4246;24;12;1957;Ybbs an der Donau;FISC,ECON,ITRE,AFCO,DPAL,D-US,DASE,DMED,DACP,DCAB;university,phd;lawyer,politician,manager
197691;3;7;1984;Rueil Malmaison;ENVI,DASE;;
28372;25;1;1963;Londyn (GB);D-RU,PETI,DEVE,CONT,DROI,DARP,DCAS,DACP,DAFR;university;media,politician
197416;9;4;1963;Nicosia;AFET,D-TR,ITRE,AGRI,D-RU,DCAS;;
124833;11;9;1983;Napoli;LIBE,DACP,DAFR,ENVI,DANZ;university,phd;official
197777;20;10;1944;Caracas;D-CL,AFET,DROI,DLAT,LIBE,PETI,D-BR,DCAM,DMER,DACP,DPAC;;
124891;11;4;1953;Choszczno;ITRE,AFCO,DEEA,AFET,SEDE,D-CN,DSAS,D-ZA;university,phd;teacher,researcher,manager
197690;23;12;1961;Paris;REGI,D-BR,DMER;;
197441;2;6;1962;Pozega;PECH,CULT,DARP,FEMM,D-ME;;
197619;24;10;1983;Castelnovo ne' Monti;JURI,DCAM,DLAT,CONT,REGI;secondary,university,phd;media,politician
124691;27;5;1962;Kato Dhikomo;ECON,D-TR,DMED,INTA,SEDE,D-IL;university,phd;official
124884;14;1;1964;Bydgoszcz;DSCA,TRAN,PETI,DEPA,IMCO,JURI,DANZ,DACP,DAFR;university;media,politician,official,manager
125104;2;11;1965;;EMPL,DEEA,IMCO,LIBE,DCAS;;
96837;1;6;1966;Duisburg;D-ME,CULT,IMCO,D-AL;secondary,university;politician,official,manager
28141;6;10;1974;Tata;FEMM,D-ZA,EMPL,DKOR;;
28353;12;1;1957;Lębork;AFET,SEDE,D-UK,DSCA,DEPA,DNAT;university;politician,official,manager
197573;23;2;1998;Frederiksberg C;FISC,ECON,EMPL,DEEA,D-IN,ITRE,FEMM,D-ZA;;
197801;16;11;1947;Napoli;JURI,DMAS,DMED,LIBE,D-IR;;
197802;30;7;1976;;ENVI,ITRE,DASE,ECON,D-RU;secondary,university;researcher
124835;30;3;1969;Taranto;REGI,PECH,DPAL,DMED,EMPL;secondary,university;teacher
124747;15;8;1962;;ECON,AFCO,D-UK,D-JP,INTA,DLAT,DACP,DCAB;university;lawyer,teacher
197719;27;7;1975;Ciudad Real;REGI,PETI,D-CN,INTA,AGRI;university;
197810;8;6;1976;RIGA;BUDG,D-US,DEPA,LIBE,DSCA;;
197846;8;10;1970;Istanbul;ITRE,DCAS,AGRI,PECH,D-UK,D-US;;
236051;18;3;1956;Toulon;REGI,D-CA,BUDG;;
124836;9;1;1967;Rosenheim;AGRI,FEMM,DMED,DACP,DAFR,DEVE,DROI,D-ZA;secondary,university;teacher
238674;15;6;1984;Schwaz (In Tirol);D-AL,LIBE,AGRI,DROI,DSEE,DMAS;;
197545;1;2;1961;Zarzecze;BUDG,DSEE,ECON,D-MK;;
197563;6;10;1947;Kinnula;ITRE,D-JP,BUDG,REGI,DEEA,DCAS;secondary,university;politician,researcher,manager
96922;27;3;1961;Bermeo;DAND,TRAN,PECH,DLAT,ITRE,D-US;university;
197482;25;6;1956;Schonach;;;
124766;16;5;1963;Vilnius;D-AF,AFET,SEDE,D-UA,DEPA,DNAT,DEVE,DROI,D-BY;university,phd;official,teacher,manager
197507;13;9;1950;Warszawa;AFET,AFCO,DCAS,D-US;;
214839;11;11;1992;Västerås;ENVI,PECH,DEEA,ITRE,AGRI,D-CN;university;manager
239972;16;6;1967;Holstebro;ENVI,DACP,DAFR,ECON,SANT,D-JP;;
197463;22;11;1964;Liège;BUDG,CONT,DMAG,ECON,LIBE,FISC,DMED;university;manager
197769;14;6;1979;Martin;ENVI,PETI,CONT;;
197764;24;9;1953;Lutina;IMCO,D-RU,DEPA,AFET,D-MD;university;lawyer,teacher
204421;17;4;1967;Lyon;AFET,IMCO,SEDE,D-RS,DACP,DCAB,INTA,D-RU,D-IR;;
124936;17;12;1966;Mons;AFET,ENVI,DROI,DPAP,DACP,DAFR;;researcher
197542;12;3;1955;Gdánsk;DEVE,DROI,D-BY,DEPA,DACP,DAFR,LIBE,DMAG,DMED;university;
124696;1;10;1956;;IMCO,DPAP,ITRE,D-IL,DMED;university;engineer
239973;4;3;1990;Gribskov;TRAN,D-CN,REGI,LIBE,D-IR;;
124701;13;3;1966;Brno;ECON,FISC,D-US,ITRE,TRAN,D-BY,DKOR;university;official,researcher,manager
96808;30;6;1970;Madrid;IMCO,D-US,TRAN,DAND,DLAT;;
197455;30;1;1976;Oudenaarde;D-IN,EMPL,SANT,ENVI,FEMM,D-CA;university;politician
251859;14;2;1963;Pondichery;FEMM,DMER,DLAT,JURI,D-MX;university;official,manager,consultant
208722;21;5;1981;Aalst;INTA,EMPL,DSAS,ENVI,D-UA,D-IN;;
197551;8;10;1970;Saint-Denis (Reunion);DCAR,DEVE,REGI,DACP,DPAC;;
97058;11;4;1953;Dendermonde;AFCO,D-US,D-IL,DMED;university;
96934;22;12;1952;;AFET,D-UA,DEPA,INTA,DEEA,DNAT;;
234344;19;6;1962;;DAFR,DACP,EMPL,AFCO,ENVI,DPAP;university;lawyer,teacher
197574;16;11;1960;Joeuf;LIBE,D-ZA,ECON,ITRE,FISC;;
96829;1;7;1975;Budapest;EMPL,D-JP,DEVE,DPAP;university;lawyer
23712;20;3;1963;Praha;INTA,D-UK,DASE,DEVE;university;politician,official,researcher
28347;12;3;1965;Ginebra (Suiza);D-CA,LIBE,INTA,DCAS,DLAT;;
197624;17;11;1972;Riga;ITRE,D-US,ECON,IMCO,DAND,DASE,DLAT;;
205452;13;3;1973;London;AGRI,D-UK,D-ZA,ECON,DPAL;;
197515;12;3;1968;Middelfart;D-CN,ENVI,ITRE,DACP,DAFR,FEMM,SANT,DMAG,DMED;;
4260;15;6;1959;Lahti;;;
96826;27;7;1966;Budapest;PETI,D-IQ,ECON,DKOR;university;lawyer
253043;15;12;1955;Utrecht;ENVI,D-CN,ECON,DKOR,DCAS,DNAT;;
197805;8;7;1976;Helsingfors;BUDG,ENVI,DSAS,FEMM,DPAL,DMED;;
204419;25;3;1968;Sogliano al Rubicone;IMCO,AFCO,DMAS,REGI,D-IN;university;politician,teacher,researcher
251268;4;5;1967;;ITRE,D-IL,AFET,ECON,DACP,DAFR;university;media,politician,manager,consultant
840;6;2;1952;Ettelbruck;AFCO,DEVE,DROI,DCAR,DACP,DAFR,BUDG,AGRI,DARP;;
197717;8;2;1977;Leon;JURI,PETI,DAND,DLAT,CULT,D-CL;university;
189525;3;12;1968;Dubnitsa;CULT,DMAG,DMED,AGRI,PETI,D-RS;;
197395;21;12;1971;Malmö;LIBE,FEMM,D-TR,D-IR;secondary,university;media,official,manager
124712;11;8;1978;;CULT,D-MD,AFET,DEPA;university,phd;teacher,researcher,manager
197467;6;7;1951;Roeselare;INTA,D-UK,D-IN,IMCO;;
124692;22;8;1966;Ammochostos;AFET,D-ME,DACP,DAFR,ENVI,PETI,DLAT;university;media
197502;13;12;1982;;INTA,DACP,DCAB,EMPL,PETI,DCAR;;
197406;27;11;1986;Stockholm;IMCO,FEMM,D-US,AFET,D-BY,DEPA,DACP,DCAB;;
197687;30;8;1961;Juvisy sur Orge;TRAN,DPAP,DACP,DAFR,LIBE;;
197817;9;11;1955;Wexford;ENVI,SEDE,DARP,AFET,ECON,D-IR,D-AF;;
197819;6;10;1974;Larisa;PETI,ITRE;;
197848;18;9;1981;Devin;DCAS,EMPL,AGRI,D-MK;university;researcher,manager
197607;22;5;1964;Milano;ENVI,SANT,D-US,ITRE,DACP,DAFR;;
114268;7;8;1945;Ekenäs;BUDG,ENVI,D-RU,ITRE,D-US;university;media,politician,manager
197737;;;;;ECON,D-RU;;
96952;;;;;CULT,LIBE,PETI;university;politician
244571;29;9;1956;Alameda, California;SEDE,DLAT,ENVI,DACP,DAFR,AFET,PECH,DMER;university,phd;teacher
136236;12;4;1980;Campo Grande;TRAN,PECH,DPAL,DCAS,DACP,DCAB,ENVI,AFCO,SANT;;
249826;18;3;1965;Nitra;EMPL,D-UA,CONT;;
197728;12;2;1976;BUENOS AIRES;DMER,DEVE,DLAT,REGI,DACP,DCAB;university;media,manager
27714;11;3;1975;Budapest;ENVI,SANT,DARP,ECON,IMCO,D-CA;university;media,politician,official
197832;;;;;CULT,LIBE,FEMM,D-MX,DLAT;;
197578;25;12;1982;;ENVI,DACP,DCAB,LIBE,DROI,SANT,D-IN,DAFR;;
197635;23;8;1952;Moçambique;IMCO,JURI,DLAT,DACP,DAFR,FEMM,D-MX;university,phd;researcher
247122;19;10;1964;Aurillac;ENVI,SANT,D-CN,EMPL,D-RU;;
197615;8;7;1964;SURESNES;PETI,FEMM;;
197402;16;2;1978;Gavle;DEVE,LIBE,D-IL,DMED,ITRE,D-TR;university;manager
197627;11;12;1973;Troyes;IMCO,JURI,D-TR,D-AF,DEPA,FEMM,PETI,D-RU,D-US;university,phd;
197541;20;3;1975;Kępno;REGI,FEMM,FISC,DKOR,ECON,D-US;;
