identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
96991;12;7;1975;Bilbao;BUDG,D-RU,CONT,ECON,DANZ;;
197841;;;;;ENVI,D-BY,DEPA,INTA,DEEA;;
239258;5;7;1957;LIBRIZZI;ENVI,SANT,BUDG,REGI,PETI;university;manager
182995;26;11;1956;Versailles;LIBE,FEMM,D-BY,D-US,D-CA;;
197501;4;2;1968;Świerklaniec;CONT,LIBE,D-TR,D-BR,DMER,DLAT;;
251874;17;11;1992;Coesfeld;EMPL,D-UA,DEPA;;
197799;21;4;1964;;BUDG,ECON,D-JP,DEVE,PECH,DACP,DPAC;;
197837;2;10;1958;Karaganda;ECON,D-US,DEEA,DCAS;;
197694;15;10;1979;Boulogne-Billancourt;DROI,AFET,INTA,SEDE,D-MD,DMED,DEPA;;
197427;16;10;1955;Lauf;D-ZA,AGRI,DEVE,ENVI,D-AL;;
197567;15;10;1980;Gentofte;JURI,FEMM,DSCA,DEPA,IMCO,DASE;;
197679;5;9;1982;Madrid;REGI,ECON,DEPA,CULT,PETI,FISC,D-JP,DLAT;university;teacher,manager,consultant
124934;;;;;REGI,BUDG,FEMM,D-US,DANZ;secondary,university,phd;politician,official,teacher,manager
197550;29;1;1976;Skarzysko Kamienna;;;
125005;19;8;1947;Laredo;DCAM,AFET,SEDE,DLAT,DACP,DPAC,D-RU,DMAG;;
197650;12;2;1968;Gondomar;DMAS,AFET,LIBE,DROI,DLAT,DAND,DMED;;politician
209091;28;9;1981;Pietà;ENVI,DKOR,LIBE,AFCO,DMAS;university;politician,manager
197638;3;2;1954;Bombarral;BUDG,INTA,D-CN,DMED,ECON,DMAG;university;official,teacher,manager
198096;20;9;1949;Cuenca;AGRI,INTA,SEDE,D-US,DNAT;;
4267;8;6;1956;Gießen;DROI,DEVE,DCAM,DLAT,DACP,DAFR,AFET,INTA,BUDG,DCAR,D-UK,D-BR;;
124709;26;7;1976;Zlín;ITRE,DACP,DAFR,BUDG,D-ZA;secondary,university,phd;official,manager
197582;31;12;1972;Bra;ENVI,DSCA,ECON,ITRE,PETI,FISC,D-US,DACP,DAFR;;
96775;18;2;1983;Garbagnate Milanese;IMCO,D-US,ITRE,AGRI,DMER,DLAT;;
132366;6;2;1957;Hyvinkää;EMPL,DKOR,CONT;;
197794;20;9;1968;Brindisi;EMPL,D-MX,DLAT,CULT;;
197798;15;2;1963;Pagani;TRAN,PECH,DMED;;
197683;3;2;1948;Marseille;TRAN,ENVI;;
204400;5;5;1982;Madrid;JURI,D-CN,AGRI,DSEE;;politician,researcher,manager,consultant
96801;;;;;DASE,TRAN,CULT,D-TR,D-CL,DLAT,DACP,DCAB;university,phd;politician,official
237779;14;6;1957;Råda Lidköping;FEMM,DMED,AFET,EMPL,LIBE,D-US;;
4289;18;2;1963;München;ITRE,D-US,JURI,D-IN,DASE;secondary,university,phd;lawyer
197532;19;11;1959;Lublin;REGI,CULT,DACP,DAFR,ITRE,DASE;;
197756;8;2;1972;Venlo;TRAN,D-ZA,REGI,FEMM,DSAS;;
96698;24;7;1959;Vilnius;ITRE,DEEA;secondary,university,phd;politician,manager,labourer
197636;17;9;1974;Ocna Mures;LIBE,D-US,AFET,ITRE,PETI,DLAT;;
197718;20;7;1972;A CORUNA;ITRE,SANT,DMED,ENVI,PECH,DMER,DLAT;;
28224;;;;;CONT,ITRE,D-RU,TRAN,D-CN;phd;politician,teacher,manager
23788;12;9;1974;Gdańsk;IMCO,DASE,AFET,DARP;;
197581;28;3;1974;Coutances;D-CA,ECON,IMCO,PECH,FISC,D-UK,D-US;university;lawyer,politician,researcher,manager,consultant
197503;30;11;1974;;BUDG,IMCO,DKOR,CULT,PETI,DACP,DAFR;university;
254719;21;9;1979;Lisboa;LIBE,D-BR,DMER,DLAT,INTA,ENVI,IMCO,PECH,D-UK,D-US;;
24505;10;5;1973;Epinay sur Seine;DMAG,INTA,AFET,CULT,JURI,DMED;;
197516;11;5;1985;Opole;DEPA,LIBE,D-MD,ECON,FISC,D-JP;phd;teacher,manager
197401;23;9;1970;Roslags-Bro;D-BY,INTA,ENVI,DEPA,D-UA;university;manager
204368;16;1;1981;;DROI,DEVE,AFET,D-AL,D-ME,DCAS,DACP,DAFR;university;politician
197446;1;9;1967;;EMPL,D-RU,ENVI,SANT,D-CN;university,phd;official,researcher,manager
36392;27;9;1957;Venafro;IMCO,D-US,D-JP,ENVI,ITRE,SANT;;
250918;21;10;1975;Châteaubriant;DEVE,CONT,SANT,DACP,DAFR,ENVI;;
197538;;;;;DLAT,IMCO,D-BR,DMER,TRAN,DACP,DCAB;;
124735;19;5;1972;Vaasa;D-US,INTA,ITRE,AFCO,D-JP;;
1992;13;8;1944;Madrid;DLAT,ECON,FISC,D-MX,DCAR,INTA,D-TR;;
228604;;;;;EMPL,DPAP,DEVE,BUDG,D-TR,D-RU,DKOR;;
232843;30;6;1975;Volkach;AFET,ECON,IMCO;university;media,politician,manager
197623;8;8;1958;;AFET,INTA,ITRE,DROI,DCAR,D-IN,DCAS,DEPA,DACP,DAFR,D-BY,DSCA,D-IR,DKOR,DMED;;politician
253008;28;12;1990;Gothenburg;TRAN,REGI,DEEA,ITRE,D-UK,D-CN;;
