identifier;gender;citizenship
197415;MALE;CYP
197422;FEMALE;DEU
197894;MALE;HUN
197452;MALE;SVN
197682;MALE;AUT
197778;MALE;NLD
236053;FEMALE;FRA
125021;FEMALE;NLD
183916;FEMALE;DEU
96653;FEMALE;SVK
197787;MALE;ITA
197796;MALE;ITA
96725;MALE;NLD
204416;FEMALE;FRA
197447;FEMALE;SVN
188945;MALE;DEU
197786;FEMALE;ITA
125043;FEMALE;ESP
243979;FEMALE;ITA
197473;MALE;DEU
28161;FEMALE;DNK
124852;MALE;BGR
197720;FEMALE;IRL
96891;MALE;ITA
96734;FEMALE;DEU
125004;MALE;SVN
247735;FEMALE;ESP
197765;MALE;SVK
40599;FEMALE;FIN
1892;MALE;PRT
96776;FEMALE;POL
197448;MALE;DEU
24942;FEMALE;ESP
197668;MALE;ROU
198176;MALE;AUT
185619;MALE;DEU
23781;MALE;POL
124760;MALE;FRA
28340;FEMALE;ITA
197504;MALE;FRA
197527;FEMALE;FRA
124713;MALE;CZE
197731;FEMALE;IRL
28229;MALE;DEU
197795;MALE;ITA
197626;MALE;FRA
197788;FEMALE;ITA
190774;MALE;FRA
125109;FEMALE;GRC
249284;FEMALE;FRA
197539;MALE;CZE
197595;FEMALE;HUN
122978;FEMALE;ESP
254722;MALE;PRT
124973;MALE;BEL
254718;FEMALE;PRT
197528;MALE;CZE
250538;MALE;POL
197564;MALE;CZE
2054;FEMALE;FIN
197530;FEMALE;POL
96668;MALE;IRL
197808;MALE;ITA
112744;MALE;HRV
2341;MALE;DEU
197577;MALE;FRA
197709;MALE;NLD
125064;FEMALE;GRC
72779;FEMALE;FRA
197511;FEMALE;FRA
197553;FEMALE;POL
197522;FEMALE;CZE
197580;FEMALE;ITA
197776;MALE;NLD
197783;MALE;LVA
4344;FEMALE;ESP
197439;MALE;DEU
202073;MALE;LUX
204334;MALE;ITA
197632;FEMALE;AUT
4746;MALE;ITA
197556;MALE;CZE
197754;FEMALE;PRT
197779;MALE;ESP
197820;MALE;ITA
197870;FEMALE;NLD
197584;MALE;HUN
197611;FEMALE;ITA
197772;FEMALE;NLD
197773;MALE;NLD
124770;MALE;FRA
112611;MALE;FIN
236052;FEMALE;FRA
197505;FEMALE;FRA
124726;FEMALE;FIN
28269;MALE;POL
124777;FEMALE;ITA
125065;FEMALE;GRC
112747;FEMALE;HRV
197394;FEMALE;MLT
197426;MALE;DEU
96747;MALE;FRA
124700;FEMALE;EST
233862;MALE;SVN
28122;MALE;MLT
189065;FEMALE;FRA
124785;FEMALE;ROU
197734;MALE;GRC
124866;MALE;BGR
28346;FEMALE;ITA
197586;FEMALE;ITA
106936;MALE;DEU
197675;FEMALE;AUT
101039;MALE;ITA
197606;MALE;ESP
123562;MALE;SWE
197711;FEMALE;ESP
197641;FEMALE;PRT
197792;FEMALE;ITA
185771;MALE;BEL
209896;MALE;IRL
251249;FEMALE;ESP
197464;FEMALE;DEU
124862;FEMALE;DEU
197543;MALE;FRA
2323;MALE;DEU
197818;MALE;IRL
197804;MALE;ITA
197849;MALE;BGR
118949;MALE;CZE
197742;FEMALE;ESP
96830;FEMALE;HUN
197496;MALE;POL
88715;MALE;PRT
197697;FEMALE;FRA
125025;MALE;NLD
212855;MALE;ROU
197763;MALE;SVK
197647;MALE;ROU
96885;MALE;FRA
202352;MALE;ESP
129073;MALE;EST
96932;FEMALE;DEU
197771;MALE;SVK
96752;MALE;DEU
237224;MALE;PRT
197458;MALE;BEL
197423;MALE;DEU
197766;FEMALE;SVK
37312;FEMALE;DNK
197461;FEMALE;DEU
197743;MALE;GRC
124856;MALE;ITA
230085;FEMALE;ITA
202112;MALE;ROU
197800;MALE;FIN
125093;MALE;GRC
197571;MALE;DNK
204418;FEMALE;FRA
197513;MALE;POL
197410;MALE;DEU
192635;MALE;ITA
